experiment,best_dim,best_gap_mHa,best_E_var,max_dim,n_terms_min,n_terms_max,rotation,schema,best_path
v21.3 restart 15k->20k,20000,1.1022657854482532,-2086.6497310382792,20000,29717,29717,active_rotation:c65788197e7dc63e,cr2_v1433_cas12_adaptive_topparent_hybrid,v213/results/cr2_12_12_v213_restart_15000_to20000_20260512_111531/step028_restart_r10_to20000/cr2_v1425_final_step028_restart_r10_to20000.json
v21.4b from v21.3 18k,19100,1.179136352675414,-2086.649654167712,19100,29717,29717,active_rotation:c65788197e7dc63e,cr2_v1433_cas12_adaptive_topparent_hybrid,v214_archive/cr2_v214b_from_v213_18000_to_submha/seg012_to26000/step006_phase0_micro250_r10_to19100/cr2_v1425_final_step006_phase0_micro250_r10_to19100.json
"v21.4b controller from 16,026",17326,1.3460603531711968,-2086.6494872437115,17326,29717,29717,active_rotation:c65788197e7dc63e,cr2_v1433_cas12_adaptive_topparent_hybrid,v214_archive/cr2_v214b_controller_restart_from_16026/seg012_to25000/step008_phase0_micro250_r10_to17326/cr2_v1425_final_step008_phase0_micro250_r10_to17326.json
v21.4b controller from v211/15426,16026,1.4908178181940457,-2086.6493424862465,16026,29717,29717,active_rotation:c65788197e7dc63e,cr2_v214b_dtrn_active_rank_summary,v214_archive/cr2_v214b_controller_restart_from_v211/v214b_summary.json
v21.3 turbo initial to 15k,15000,1.6428057597295265,-2086.649190498305,15000,29717,29717,active_rotation:c65788197e7dc63e,cr2_v1433_cas12_adaptive_topparent_hybrid,v213/results/cr2_12_12_v213_selected_turbo_20260510_170922/main_no_cas12_turbo_to15000/step018_phase3_late250_r10_to15000/cr2_v1425_final_step018_phase3_late250_r10_to15000.json
v14.35 / 04_main_no_to24000,14276,1.777895293344045,-2086.6490554087713,14276,29717,29717,active_rotation:c65788197e7dc63e,cr2_v1433_cas12_adaptive_topparent_hybrid,v1435_no_to24000/04_main_no_to24000/step076_phase2_mid500_r10_to14276/cr2_v1425_final_step076_phase2_mid500_r10_to14276.json
v21.4a adaptive,12076,2.2267120812102803,-2086.6486065919835,12076,29717,29717,active_rotation:c65788197e7dc63e,cr2_v1433_cas12_adaptive_topparent_hybrid,v214a/results/cr2_12_12_v214a_adaptive_20260510_204116/seg009_to12876/step007_phase0_micro250_r10_to12076/cr2_v1425_final_step007_phase0_micro250_r10_to12076.json
v21.4b DTRN active 20260511,11876,2.294120668921096,-2086.6485391833958,11876,29717,29717,active_rotation:c65788197e7dc63e,cr2_v1433_cas12_adaptive_topparent_hybrid,v214_archive/results/cr2_cas12_v214b_dtrn_20260511_042222/seg010_to12876/step005_phase0_micro250_r10_to11876/cr2_v1425_final_step005_phase0_micro250_r10_to11876.json
v21.4b DTRN active 20260512,10476,2.738437593961862,-2086.6480948664707,10476,29717,29717,active_rotation:c65788197e7dc63e,cr2_v1433_cas12_adaptive_topparent_hybrid,v214_archive/results/cr2_cas12_v214b_dtrn_20260512_071446/seg009_to10876/step008_phase0_micro250_r10_to10476/cr2_v1425_final_step008_phase0_micro250_r10_to10476.json
failed 20k->20.5k no-CASSCF,20500,187.74210595984187,-2086.463091198105,20500,29709,29709,none,cr2_v1433_cas12_adaptive_topparent_hybrid,v213/results/cr2_12_12_v213_restart_20k_to_0p5_20260514_072249/step000_v213_r10_to20500/cr2_v1425_final_step000_v213_r10_to20500.json
